epoch,train_loss,val_loss,val_acc,activation,init,bound,act_mean,act_std,frac_zero,grad_norm
9,0.8511459035873413,0.9027633535385132,0.6834,tanh,naive_uniform,0.005,-0.06118914523782829,0.12294929578072494,0.0,0.5706281216815114
10,0.7995456624984741,0.8797979130744934,0.7018,tanh,naive_uniform,0.005,-0.0603941306479909,0.12860568571421835,0.0,0.6478372935205698
11,0.7635947147369385,0.9197809278488159,0.6895,tanh,naive_uniform,0.005,-0.06064116305060452,0.13386363453335232,0.0,1.2530407931655645
12,0.7310755620956421,0.8439869052886962,0.7154,tanh,naive_uniform,0.005,-0.0641945915328203,0.13764594598776764,2.6490953233506943e-08,0.6712421305477619
13,0.705184401512146,0.8551030557632446,0.7088,tanh,naive_uniform,0.005,-0.06741873079509889,0.1375921174056,0.0,0.9703678146004677
14,0.68388999376297,0.875009011220932,0.7041,tanh,naive_uniform,0.005,-0.06927528160869972,0.14493066258728504,0.0,0.9742272771894932
15,0.6560730555534363,0.8409862236022949,0.7216,tanh,naive_uniform,0.005,-0.07078115576587152,0.15228058190809357,2.6490953233506943e-08,0.7643377546221017
16,0.6399771164894104,0.8884149538993835,0.7062,tanh,naive_uniform,0.005,-0.07458793764332465,0.15069160051643848,2.6490953233506943e-08,1.8083664525300265
17,0.6220756916999817,0.9024367215156556,0.708,tanh,naive_uniform,0.005,-0.07760630841302271,0.15058505017724302,1.5894571940104166e-07,2.124609933048487
18,0.6026637928962707,0.8496515326976776,0.7213,tanh,naive_uniform,0.005,-0.07370961335254833,0.16471331690748534,0.0,0.8967916790395976
