epoch,train_loss,val_loss,val_acc,activation,init,bound,act_mean,act_std,frac_zero,grad_norm
14,558.5633196,68.93324492,0.0976,relu,naive_uniform,1,113.9663312,854.2794128,0.777406401,491.2287611
15,417.9427667,42.9456967,0.0976,relu,naive_uniform,1,117.9612199,888.3226092,0.77732571,0.004509169
17,227.4231033,19.91851679,0.0977,relu,naive_uniform,1,124.5936794,944.5933235,0.776468277,0.004423614
46,2.943566637,2.302739495,0.0999,relu,naive_uniform,1,262.9873676,2080.812751,0.770690256,0.004398471
1,2.302734786,2.302675466,0.0999,relu,naive_uniform,0.005,0.0001485,0.000508536,0.630008909,0.004378799
25,2.302684714,2.302636507,0.1006,relu,naive_uniform,0.005,3.06E-05,0.000345407,0.676397641,0.005332789
12,1220.422998,215.1211107,0.1022,relu,naive_uniform,1,106.7192553,791.9677096,0.777313126,859.4630849
11,1967.672507,413.4822221,0.1034,relu,naive_uniform,1,102.3586974,755.0124346,0.777683126,2238.614344
13,797.117542,119.7679729,0.1037,relu,naive_uniform,1,110.4732372,823.9799194,0.777382559,612.3125227
10,3754.765234,854.2437663,0.1053,relu,naive_uniform,1,97.3226467,712.8536813,0.777540631,2762.036891
9,8381.194191,2100.699703,0.1093,relu,naive_uniform,1,91.55328822,664.7608307,0.777161174,4584.682074
7,58073.57814,22529.42412,0.11,relu,naive_uniform,1,82.67260525,598.6127501,0.776800818,23606.47666
8,22761.00332,6314.130622,0.1149,relu,naive_uniform,1,84.43959499,608.363723,0.777849118,7799.427178
6,136240.7296,57923.42101,0.1254,relu,naive_uniform,1,96.60102883,697.9380104,0.772209962,50832.68756
5,320576.7404,138810.4621,0.1344,relu,naive_uniform,1,148.3593039,993.7290535,0.762813886,130204.5577
4,795795.8038,319295.5823,0.1568,relu,naive_uniform,1,309.5657687,1705.047257,0.749785741,298841.201
2,8964327.639,2607556.529,0.1642,relu,naive_uniform,1,3783.643484,10711.76893,0.708867311,2569654.676
3,2339164.507,811041.9554,0.1655,relu,naive_uniform,1,900.9042845,3649.274436,0.734311024,633683.2644
1,159292213.6,10535325.45,0.1726,relu,naive_uniform,1,19980.93466,44516.80122,0.672548585,9154437.703
19,10.01934612,2.454650861,0.0962,tanh,naive_uniform,1,0.135792234,0.880912049,0,2.091368887
38,6.452502578,2.596057572,0.0963,tanh,naive_uniform,1,0.144341505,0.88574586,0,0.516199192
46,5.184195543,2.532309906,0.0963,tanh,naive_uniform,1,0.114848103,0.901032872,0,0.523203236
47,4.977248235,2.601662279,0.0963,tanh,naive_uniform,1,0.116734401,0.900387526,0,0.638695237
50,4.57660974,2.577529975,0.0963,tanh,naive_uniform,1,0.112823462,0.895889706,0,0.549017271
30,7.871869843,2.527759901,0.0965,tanh,naive_uniform,1,0.146086695,0.881446269,0,0.517901919
20,9.725297354,2.826455878,0.0967,tanh,naive_uniform,1,0.133101375,0.881159256,0,2.680064164
31,7.675893883,2.733364253,0.0967,tanh,naive_uniform,1,0.148140275,0.881712516,0,0.753589833
8,12.19345502,3.287455177,0.0969,tanh,naive_uniform,1,0.132075904,0.88807306,0,16.87507228
15,10.71982236,2.938044996,0.0971,tanh,naive_uniform,1,0.12223452,0.882537408,0,2.694904361
34,7.202071031,2.52653179,0.0973,tanh,naive_uniform,1,0.14790122,0.87989431,0,0.546539672
42,5.793006532,2.641242307,0.0973,tanh,naive_uniform,1,0.140018676,0.890127675,0,0.760417508
45,5.329667836,2.536070674,0.0973,tanh,naive_uniform,1,0.128536986,0.895439804,0,0.522766686
24,9.058027785,2.808924654,0.0974,tanh,naive_uniform,1,0.12434462,0.883127107,0,1.324735257
22,9.354499591,2.964580106,0.0975,tanh,naive_uniform,1,0.142698229,0.880170104,0,3.005398724
4,13.04451978,3.86257731,0.0976,tanh,naive_uniform,1,0.127972791,0.893764549,0,32.70289016
16,10.49142824,2.660096027,0.0976,tanh,naive_uniform,1,0.124038534,0.88324364,0,3.039526515
18,10.10241755,3.072005279,0.0981,tanh,naive_uniform,1,0.12650242,0.888957474,0,16.71567493
10,11.6482414,2.652424701,0.0997,tanh,naive_uniform,1,0.141382955,0.887995223,0,12.16256764
40,6.102525616,2.891649306,0.0998,tanh,naive_uniform,1,0.142260397,0.888486667,0,0.754001828
26,8.626191497,2.721132455,0.1003,tanh,naive_uniform,1,0.131705561,0.885405378,0,1.872800634
43,5.625925788,2.444861171,0.1006,tanh,naive_uniform,1,0.128574738,0.895654817,0,0.478833046
6,12.58735732,3.08285362,0.1007,tanh,naive_uniform,1,0.137303051,0.890644279,0,15.88230194
13,11.11454559,3.47495125,0.1007,tanh,naive_uniform,1,0.124081983,0.884739925,0,13.41792608
41,5.924774548,2.543077836,0.101,tanh,naive_uniform,1,0.138052306,0.891004062,0,0.374613304
25,8.801105387,2.411001769,0.1012,tanh,naive_uniform,1,0.122347832,0.884165112,0,0.858600417
